Genus,Species,NofFiles,NBDC,UBC,Yorku,UoA,GlobalBiodiversity,Ecdysis,N_NBDC_samples
Lasioglossum,Lasioglossum versans,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum zephyrus,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum zonulum,0,0,0,0,0,0,0,0
Macropis,Macropis nuda,2,0,0,2,0,0,0,0
Megachile,Megachile anograe,0,0,0,0,0,0,0,0
Megachile,Megachile brevis,0,0,0,0,0,0,0,0
Megachile,Megachile casadae,0,0,0,0,0,0,0,0
Megachile,Megachile centuncularis,0,0,0,0,0,0,0,0
Megachile,Megachile circumcincta,0,0,0,0,0,0,0,0
Megachile,Megachile dentitarsus,0,0,0,0,0,0,0,0
Megachile,Megachile fortis,0,0,0,0,0,0,0,0
Megachile,Megachile frigida,0,0,0,0,0,0,0,0
Megachile,Megachile gemula,0,0,0,0,0,0,0,0
Megachile,Megachile inermis,12,12,0,0,0,0,0,16
Megachile,Megachile lapponica,0,0,0,0,0,0,0,0
Megachile,Megachile latimanus,0,0,0,0,0,0,0,0
Megachile,Megachile lippiae,0,0,0,0,0,0,0,0
Megachile,Megachile manifesta,0,0,0,0,0,0,0,0
Megachile,Megachile melanophaea,0,0,0,0,0,0,0,0
Megachile,Megachile montivaga,0,0,0,0,0,0,0,0
Megachile,Megachile parallela,0,0,0,0,0,0,0,0
Megachile,Megachile perihirta,1,0,0,0,1,0,0,0
Megachile,Megachile pugnata,0,0,0,0,0,0,0,0
Megachile,Megachile relativa,1,0,0,0,1,0,0,0
Megachile,Megachile rotundata,16,16,0,0,0,0,0,39
Megachile,Megachile sublaurita,0,0,0,0,0,0,0,0
Megachile,Megachile wheeleri,0,0,0,0,0,0,0,0
Melecta,Melecta pacifica,3,0,3,0,0,0,0,0
Melecta,Melecta thoracica,3,0,3,0,0,0,0,0
Melissodes,Melissodes agilis,0,0,0,0,0,0,0,0
Melissodes,Melissodes communis,4,0,4,0,0,0,0,0
Melissodes,Melissodes confusa,0,0,0,0,0,0,0,0
Melissodes,Melissodes coreopsis,0,0,0,0,0,0,0,0
Melissodes,Melissodes druriella,0,0,0,0,0,0,0,0
Melissodes,Melissodes illata,0,0,0,0,0,0,0,0
Melissodes,Melissodes lupina,0,0,0,0,0,0,0,0
Melissodes,Melissodes lutulenta,0,0,0,0,0,0,0,0
Melissodes,Melissodes menuachus,0,0,0,0,0,0,0,0
Melissodes,Melissodes microsticta,4,0,4,0,0,0,0,0
Melissodes,Melissodes pallidisignata,0,0,0,0,0,0,0,0
Melissodes,Melissodes perlusa,0,0,0,0,0,0,0,0
Melissodes,Melissodes rivalis,0,0,0,0,0,0,0,0
Melissodes,Melissodes semilupina,0,0,0,0,0,0,0,0
Melissodes,Melissodes snowii,0,0,0,0,0,0,0,0
Melissodes,Melissodes subagilis,0,0,0,0,0,0,0,0
Melissodes,Melissodes utahensis,0,0,0,0,0,0,0,0
Neolarra,Neolarra pruinosa,0,0,0,0,0,0,0,0
Neolarra,Neolarra vigilans,0,0,0,0,0,0,0,0
Nomada,Nomada aquilarum,0,0,0,0,0,0,0,0
