Genus,Species,NofFiles,NBDC,UBC,Yorku,UoA,GlobalBiodiversity,Ecdysis,N_NBDC_samples
Colletes,Colletes simulans,1,1,0,0,0,0,0,0
Colletes,Colletes susannae,0,0,0,0,0,0,0,0
Diadasia,Diadasia australis,9,9,0,0,0,0,0,0
Diadasia,Diadasia diminuta,6,6,0,0,0,0,0,0
Diadasia,Diadasia sp,4,0,4,0,0,0,0,0
Dianthidium,Dianthidium curvatum,9,9,0,0,0,0,0,0
Dianthidium,Dianthidium pudicum,0,0,0,0,0,0,0,0
Dufourea,Dufourea dilatipes,0,0,0,0,0,0,0,0
Dufourea,Dufourea harveyi,0,0,0,0,0,0,0,0
Dufourea,Dufourea holocyanea,0,0,0,0,0,0,0,0
Dufourea,Dufourea marginata,0,0,0,0,0,0,0,0
Dufourea,Dufourea maura,0,0,0,0,0,0,0,0
Epeolus,Epeolus ainsliei,0,0,0,0,0,0,0,0
Epeolus,Epeolus americanus,0,0,0,0,0,0,0,0
Epeolus,Epeolus compactus,0,0,0,0,0,0,0,0
Epeolus,Epeolus lutzi,0,0,0,0,0,0,0,0
Epeolus,Epeolus minimus,3,3,0,0,0,0,0,0
Eucera,Eucera fulvitarsis,6,3,3,0,0,0,0,0
Eucera,Eucera speciosa,0,0,0,0,0,0,0,0
Halictus,Halictus confusus,7,6,0,0,1,0,0,0
Halictus,Halictus ligatus,10,9,0,0,1,0,0,0
Halictus,Halictus rubicundus,1,0,0,0,1,0,0,3
Halictus,Halictus tripartitus,0,0,0,0,0,0,0,0
Halictus,Halictus virgatellus,0,0,0,0,0,0,0,0
Heriades,Heriades carinata,5,3,0,2,0,0,0,0
Heriades,Heriades variolosa,3,1,0,2,0,0,0,0
Holcopasites,Holcopasites heliopsis,3,3,0,0,0,0,0,0
Holcopasites,Holcopasites pulchellus,0,0,0,0,0,0,0,0
Holcopasites,Holcopasites stevensi,0,0,0,0,0,0,0,0
Hoplitis,Hoplitis albifrons,6,4,0,2,0,0,0,0
Hoplitis,Hoplitis fulgida,13,11,0,2,0,0,0,0
Hoplitis,Hoplitis pilosifrons,5,4,0,1,0,0,0,0
Hoplitis,Hoplitis producta,2,0,0,2,0,0,0,1
Hoplitis,Hoplitis robusta,2,0,0,2,0,0,0,0
Hoplitis,Hoplitis spoliata,8,6,0,2,0,0,0,0
Hylaeus,Hylaeus affinis,0,0,0,0,0,0,0,0
Hylaeus,Hylaeus annulatus,3,3,0,0,0,0,0,0
Hylaeus,Hylaeus basalis,2,2,0,0,0,0,0,0
Hylaeus,Hylaeus episcopalis,0,0,0,0,0,0,0,0
Hylaeus,Hylaeus gaigel,0,0,0,0,0,0,0,0
Hylaeus,Hylaeus granulatus,0,0,0,0,0,0,0,0
Hylaeus,Hylaeus leptocephalus,4,4,0,0,0,0,0,0
Hylaeus,Hylaeus mesillae,0,0,0,0,0,0,0,0
Hylaeus,Hylaeus modestus,1,1,0,0,0,0,0,0
Hylaeus,Hylaeus verticalis,8,8,0,0,0,0,0,0
Lasioglossum,Lasioglossum aberrans,3,3,0,0,0,0,0,0
Lasioglossum,Lasioglossum abundipunctum,5,5,0,0,0,0,0,0
Lasioglossum,Lasioglossum acuminatum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum albipenne,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum albohirtum,3,3,0,0,0,0,0,0
Lasioglossum,Lasioglossum anomalum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum athabascence,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum cinctipes,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum colatum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum cooleyi,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum coriaceum,5,5,0,0,0,0,0,0
Lasioglossum,Lasioglossum cressonii,3,3,0,0,0,0,0,0
Lasioglossum,Lasioglossum diatretum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum dreisbachi,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum ebmerellum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum egregium,4,4,0,0,0,0,0,0
Lasioglossum,Lasioglossum hudsoniellum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum imbrex,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum imitatum,2,2,0,0,0,0,0,0
Lasioglossum,Lasioglossum incompletum,3,3,0,0,0,0,0,0
Lasioglossum,Lasioglossum inconditum,5,5,0,0,0,0,0,0
Lasioglossum,Lasioglossum knereri,3,3,0,0,0,0,0,0
Lasioglossum,Lasioglossum laevissimum,3,3,0,0,0,0,0,0
Lasioglossum,Lasioglossum leucozonium,2,2,0,0,0,0,0,0
Lasioglossum,Lasioglossum lineatulum,5,5,0,0,0,0,0,0
Lasioglossum,Lasioglossum lusorium,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum macoupinense,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum nigroviride,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum nigrum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum novascotiae,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum occidentale,2,2,0,0,0,0,0,0
Lasioglossum,Lasioglossum packeri,1,1,0,0,0,0,0,0
Lasioglossum,Lasioglossum pallidellum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum paraforbesii,3,3,0,0,0,0,0,0
Lasioglossum,Lasioglossum pavoninum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum perpunctatum,3,3,0,0,0,0,0,0
Lasioglossum,Lasioglossum pictum,4,4,0,0,0,0,0,0
Lasioglossum,Lasioglossum planatum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum prasinogaster,4,4,0,0,0,0,0,0
Lasioglossum,Lasioglossum pruinosum,2,2,0,0,0,0,0,0
Lasioglossum,Lasioglossum quebecense,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum ruidosense,3,3,0,0,0,0,0,0
Lasioglossum,Lasioglossum sagax,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum seillean,2,2,0,0,0,0,0,0
Lasioglossum,Lasioglossum semicaeruleum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum sisymbrii,3,3,0,0,0,0,0,0
Lasioglossum,Lasioglossum sitocleptum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum succinipenne,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum swenki,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum synthyridis,0,0,0,0,0,0,0,0
